10 мая 1927 года, процент освещенности луны 67%, по лунному календарю идет 9, 10 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Дева
11 мая 1927 года, процент освещенности луны 75%, по лунному календарю идет 10, 11 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Дева
12 мая 1927 года, процент освещенности луны 83%, по лунному календарю идет 11, 12 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Дева и Весы
13 мая 1927 года, процент освещенности луны 89%, по лунному календарю идет 12, 13 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Весы
14 мая 1927 года, процент освещенности луны 95%, по лунному календарю идет 13, 14 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Весы и Скорпион
15 мая 1927 года, процент освещенности луны 98%, по лунному календарю идет 14, 15 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Скорпион
16 мая 1927 года, процент освещенности луны 100%, по лунному календарю идет 15, 16 лунный день, Полнолуние в 21:01, Луна находится в знаке зодиака Скорпион
17 мая 1927 года, процент освещенности луны 100%, по лунному календарю идет 16, 17 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Скорпион и Стрелец
18 мая 1927 года, процент освещенности луны 98%, по лунному календарю идет 17, 18 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Стрелец
19 мая 1927 года, процент освещенности луны 93%, по лунному календарю идет 18, 19 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Стрелец и Козерог
20 мая 1927 года, процент освещенности луны 87%, по лунному календарю идет 19, 20 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Козерог
21 мая 1927 года, процент освещенности луны 80%, по лунному календарю идет 19, 20, 21 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Козерог
22 мая 1927 года, процент освещенности луны 70%, по лунному календарю идет 20, 21, 22 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Козерог и Водолей
23 мая 1927 года, процент освещенности луны 60%, по лунному календарю идет 21, 22 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Водолей
24 мая 1927 года, процент освещенности луны 48%, по лунному календарю идет 22, 23 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Водолей и Рыбы
25 мая 1927 года, процент освещенности луны 37%, по лунному календарю идет 23, 24 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Рыбы
26 мая 1927 года, процент освещенности луны 26%, по лунному календарю идет 24, 25 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Рыбы и Овен
27 мая 1927 года, процент освещенности луны 17%, по лунному календарю идет 25, 26 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Овен
28 мая 1927 года, процент освещенности луны 9%, по лунному календарю идет 26, 27 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Овен и Телец
29 мая 1927 года, процент освещенности луны 3%, по лунному календарю идет 27, 28 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Телец
30 мая 1927 года, процент освещенности луны 0%, по лунному календарю идет 28, 29, 1 лунный день, Новолуние в 23:04, Луна находится в знаке зодиака Телец и Близнецы
31 мая 1927 года, процент освещенности луны 0%, по лунному календарю идет 1, 2 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Близнецы
1 июня 1927 года, процент освещенности луны 3%, по лунному календарю идет 2, 3 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Близнецы и Рак
2 июня 1927 года, процент освещенности луны 8%, по лунному календарю идет 3, 4 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рак
3 июня 1927 года, процент освещенности луны 15%, по лунному календарю идет 4, 5 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рак и Лев
4 июня 1927 года, процент освещенности луны 23%, по лунному календарю идет 5, 6 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Лев
5 июня 1927 года, процент освещенности луны 32%, по лунному календарю идет 6, 7 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Лев
6 июня 1927 года, процент освещенности луны 41%, по лунному календарю идет 7, 8 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Лев и Дева
7 июня 1927 года, процент освещенности луны 51%, по лунному календарю идет 8, 9 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Дева
8 июня 1927 года, процент освещенности луны 60%, по лунному календарю идет 9, 10 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Дева и Весы
9 июня 1927 года, процент освещенности луны 69%, по лунному календарю идет 10, 11 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Весы
10 июня 1927 года, процент освещенности луны 78%, по лунному календарю идет 11, 12 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Весы
11 июня 1927 года, процент освещенности луны 85%, по лунному календарю идет 12, 13 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Весы и Скорпион
12 июня 1927 года, процент освещенности луны 91%, по лунному календарю идет 13, 14 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Скорпион
13 июня 1927 года, процент освещенности луны 96%, по лунному календарю идет 14, 15 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Скорпион и Стрелец
14 июня 1927 года, процент освещенности луны 99%, по лунному календарю идет 15, 16 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Стрелец
15 июня 1927 года, процент освещенности луны 100%, по лунному календарю идет 16, 17 лунный день, Полнолуние в 10:18, Луна находится в знаке зодиака Стрелец и Козерог
16 июня 1927 года, процент освещенности луны 99%, по лунному календарю идет 17, 18 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Козерог
17 июня 1927 года, процент освещенности луны 95%, по лунному календарю идет 18, 19 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Козерог
18 июня 1927 года, процент освещенности луны 90%, по лунному календарю идет 19, 20 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Козерог и Водолей
